,policy_name,avg_composite_rank,category
1,FAIRROUTE_V2,6.861111111111111,FairRoute (v2 / H5)
2,H5,6.861111111111111,Combination-Form Hypothesis
3,H3,6.861111111111111,Combination-Form Hypothesis
4,H2,6.861111111111111,Combination-Form Hypothesis
5,H1,6.861111111111111,Combination-Form Hypothesis
6,H0,6.861111111111111,Combination-Form Hypothesis
7,L_P,6.861111111111111,Pairwise
8,F_L_P,6.861111111111111,Naive Linear Triple
9,PILLM,7.0,Prior Art
10,QUARTZ,7.0,Prior Art
11,DUALMAP,7.1944444444444455,Prior Art
12,RR,7.777777777777778,Naive
13,BALANCEROUTE,8.416666666666666,Prior Art
14,ONLINE_LP,8.416666666666666,Prior Art
15,VTC,8.555555555555555,Prior Art
16,CACHE_ROUTE,8.555555555555555,Prior Art
17,EQUINOX,8.555555555555555,Prior Art
18,F_P,8.555555555555555,Pairwise
19,PREDICTION,8.555555555555555,Single-Signal
20,LOCALITY,9.694444444444445,Single-Signal
21,LBGR,9.694444444444445,Prior Art
22,ISJL,9.88888888888889,Prior Art
23,PREBLE,9.972222222222221,Prior Art
24,FAIRNESS,10.361111111111112,Single-Signal
25,F_L,10.583333333333334,Pairwise
26,FAIRROUTE,11.222222222222221,FairRoute (Final)
27,H4,11.222222222222221,Combination-Form Hypothesis
28,NEXUSSCHED,11.472222222222223,Prior Art
29,LOAD,12.138888888888888,Naive
30,RAND,12.277777777777777,Naive
