scenario,policy_name,n_requests,n_clients,n_replicas,mean_fairness_debt,p95_fairness_debt,max_fairness_debt,mean_fairness_urgency,mean_prefix_hit_ratio,total_recompute_tokens,total_cache_hit_tokens,mean_routing_score,mean_score_margin,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,e2e_p50_ms,e2e_p99_ms,queue_p50_ms,queue_p99_ms,mean_queue_delay_fraction,mean_itl_jitter_cv,total_preemptions,slo_attainment_pct,total_output_tokens,end_time_s,req_throughput_sps,token_throughput_tps,goodput_sps,energy_proxy_kj,jains_index,replica_load_cv,prediction_vs_actual_queue_corr,category,mean_kv_util_pct,peak_kv_util_pct,mean_waiting_reqs,mean_npu_util_pct
balanced_control,RR,200,10,4,0.0,0.0,0.0,0.0,0.0,101668,0,0.0,0.0,30.0081,44.1314,11.688,11.9367,1509.5373,2248.5736,6.002,11.0923,0.004,6.4999,0,100.0,25487,21.4986,9.3029,1185.5209,9.3029,5.3746,0.9948,0.0,,Naive,0.5111,1.078,0.1786,22.1918
balanced_control,LOAD,200,10,4,0.0,0.0,0.0,0.0,0.0,101668,0,0.0,0.0,29.3513,44.7865,11.8582,12.3832,1526.6061,2266.422,5.0284,11.1197,0.0037,5.7903,0,100.0,25487,21.5032,9.301,1185.2675,9.301,5.3758,0.9948,0.505,,Naive,0.4322,0.812,0.1667,21.9447
balanced_control,RAND,200,10,4,0.0,0.0,0.0,0.0,0.0,101668,0,0.0,0.0,30.5468,43.9846,11.7691,12.2964,1518.5712,2252.506,5.9529,11.1611,0.0041,6.4006,0,100.0,25487,21.5053,9.3,1185.1502,9.3,5.3763,0.9948,0.1304,,Naive,0.5171,1.468,0.1429,22.1977
balanced_control,FAIRNESS,200,10,4,0.0858,0.3883,1.0,0.1087,0.0,101668,0,0.1019,0.0015,30.2553,43.7037,11.7711,12.2666,1499.4719,2245.3273,5.5656,10.9288,0.004,6.3818,0,100.0,25487,21.5054,9.3,1185.1441,9.3,5.3764,0.9948,0.3308,0.0214,Single-Signal,0.4463,0.911,0.1786,22.0137
balanced_control,LOCALITY,200,10,4,0.0866,0.3824,1.0,0.1098,0.0,101668,0,0.0,0.0,30.4582,43.5707,11.7383,12.2509,1510.9301,2299.7889,5.9766,11.1698,0.0041,6.4028,0,100.0,25487,21.4924,9.3056,1185.8598,9.3056,5.3731,0.9948,0.1281,-0.0823,Single-Signal,0.4994,1.447,0.1905,22.1645
balanced_control,PREDICTION,200,10,4,0.0852,0.3842,1.0,0.1075,0.0,101668,0,0.9348,0.0133,30.5398,44.6237,11.8626,12.2241,1530.0204,2287.2136,5.8498,11.1805,0.0041,5.8646,0,100.0,25487,21.4931,9.3053,1185.8207,9.3053,5.3733,0.9948,0.481,-0.2282,Single-Signal,0.4316,0.768,0.2262,21.9312
balanced_control,F_L,200,10,4,0.0858,0.3883,1.0,0.1087,0.0,101668,0,0.1019,0.0015,30.2553,43.7037,11.7711,12.2666,1499.4719,2245.3273,5.5656,10.9288,0.004,6.3818,0,100.0,25487,21.5054,9.3,1185.1441,9.3,5.3764,0.9948,0.3308,0.0214,Pairwise,0.4463,0.911,0.1786,22.0137
balanced_control,L_P,200,10,4,0.0852,0.3842,1.0,0.1075,0.0,101668,0,0.9348,0.0133,30.5398,44.6237,11.8626,12.2241,1530.0204,2287.2136,5.8498,11.1805,0.0041,5.8646,0,100.0,25487,21.4931,9.3053,1185.8207,9.3053,5.3733,0.9948,0.481,-0.2282,Pairwise,0.4316,0.768,0.2262,21.9312
balanced_control,F_P,200,10,4,0.0852,0.3842,1.0,0.1075,0.0,101668,0,1.0348,0.0148,30.5398,44.6237,11.8626,12.2241,1530.0204,2287.2136,5.8498,11.1805,0.0041,5.8646,0,100.0,25487,21.4931,9.3053,1185.8207,9.3053,5.3733,0.9948,0.481,-0.2282,Pairwise,0.4316,0.768,0.2262,21.9312
balanced_control,F_L_P,200,10,4,0.0852,0.3842,1.0,0.1075,0.0,101668,0,1.0348,0.0148,30.5398,44.6237,11.8626,12.2241,1530.0204,2287.2136,5.8498,11.1805,0.0041,5.8646,0,100.0,25487,21.4931,9.3053,1185.8207,9.3053,5.3733,0.9948,0.481,-0.2282,Naive Linear Triple,0.4316,0.768,0.2262,21.9312
